County,Latitude,Longitude
"Collin County, Texas",33.1609629,-96.6060984
"Dallas County, Texas",32.7620405,-96.7790069
"Johnson County, Texas",32.3766071,-97.3568623
"Rockwall County, Texas",32.8923464,-96.4066987
"Tarrant County, Texas",32.7513658,-97.335696
"Ellis County, Texas",32.3347829,-96.7920233
"Denton County, Texas",33.1838787,-97.1413417
"Kaufman County, Texas",32.6199161,-96.2967512
"Hunt County, Texas",33.1161567,-96.0808922
"Parker County, Texas",32.7599475,-97.7935767
"Wise County, Texas",33.2139213,-97.6563925
