,"Collin County, Texas","Dallas County, Texas","Johnson County, Texas","Rockwall County, Texas","Tarrant County, Texas","Ellis County, Texas","Denton County, Texas","Kaufman County, Texas","Hunt County, Texas","Parker County, Texas","Wise County, Texas"
TotalPopulation,1005146.0,2637772.0,171361.0,100657.0,2084931.0,179436.0,859064.0,128622.0,96493.0,138371.0,68305.0
PercMale,49.2,49.4,49.9,48.6,48.9,49.3,49.2,48.6,49.6,49.6,50.0
PercFemale,50.8,50.6,50.1,51.4,51.1,50.7,50.8,51.4,50.4,50.4,50.0
PercUnder18,25.9,26.1,25.9,27.0,26.3,26.6,24.7,27.8,23.9,24.7,24.7
Perc18andOver,74.1,73.9,74.1,73.0,73.7,73.4,75.3,72.2,76.1,75.3,75.3
Perc62andOver,14.0,13.6,16.9,15.4,14.3,15.5,12.9,15.9,20.2,19.3,19.5
PercWhite,67.8,60.6,90.1,84.4,65.4,81.4,73.6,81.7,80.8,93.6,91.1
PercBlack,10.1,22.8,3.7,6.6,16.6,10.9,10.2,12.3,8.7,1.6,2.5
PercAmericanNative,0.5,0.5,0.3,0.5,0.8,1.3,0.5,0.3,1.7,1.2,0.5
PercAsian,15.9,6.4,1.2,2.1,5.6,0.7,9.3,1.4,1.6,0.8,0.0
PercHawaiian,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.2,0.1
PercOther,2.6,7.4,2.5,3.1,8.0,1.9,2.5,1.2,6.5,0.4,4.0
PercHispanicAll,15.4,40.5,22.0,18.0,29.2,26.6,19.5,22.4,17.0,12.8,19.7
2018MedianHouseholdIncome,94192.0,56854.0,62066.0,94767.0,64874.0,72213.0,83376.0,65390.0,51928.0,74625.0,61709.0
UnemploymentRate,3.6,4.3,3.6,5.3,4.7,3.3,4.0,6.9,5.0,4.8,3.5
PercNoHealthInsurance,11.3,21.7,16.5,12.5,17.2,15.9,11.1,15.3,18.5,16.7,17.0
PercFamiliesBelowPoverty,4.5,10.8,8.4,5.6,9.3,6.4,4.3,9.8,8.0,4.5,5.8
Latitude,33.1609629,32.7620405,32.3766071,32.8923464,32.7513658,32.3347829,33.1838787,32.6199161,33.1161567,32.7599475,33.2139213
Longitude,-96.6060984,-96.7790069,-97.3568623,-96.4066987,-97.335696,-96.7920233,-97.1413417,-96.2967512,-96.0808922,-97.7935767,-97.6563925
